month, method, #_true_orders_multiple,#_true_orders_1_multiple,#_true_orders_2_multiple,#_true_orders_3_multiple,#_true_orders_4_multiple,#_true_orders_unique,#_true_orders_1_unique,#_true_orders_2_unique,#_true_orders_3_unique,#_true_orders_4_unique,#_positive_orders_multiple,#_positive_orders_1_multiple,#_positive_orders_2_multiple,#_positive_orders_3_multiple,#_positive_orders_4_multiple,#_positive_orders_unique,#_positive_orders_1_unique,#_positive_orders_2_unique,#_positive_orders_3_unique,#_positive_orders_4_unique,recall_unique,recall_1_unique,recall_2_unique,recall_3_unique,recall_4_unique,accuracy_unique,accuracy_1_unique,accuracy_2_unique,accuracy_3_unique,accuracy_4_unique,recall_multiple,recall_1_multiple,recall_2_multiple,recall_3_multiple,recall_4_multiple,accuracy_multiple,accuracy_1_multiple,accuracy_2_multiple,accuracy_3_multiple,accuracy_4_multiple,overlap,overlap_1,overlap_2,overlap_3,overlap_4
201808,  ss+rank,28170,10507,6550,5946,5167,13355,474,2979,4930,4972,76964,33148,16915,14560,12341,29737,626,5795,11503,11813,0.24260576563084987,0.8924050632911392,0.5146022155085599,0.21135902636916837,0.048672566371681415,0.10895517368934324,0.6757188498402555,0.2645383951682485,0.09058506476571329,0.020485905358503344,0.5959674842923574,0.9802055576703465,0.7063043810105327,0.2676979989910879,0.05224458204334365,0.21813811472747352,0.31071827204440555,0.2735280208087018,0.10933315019572831,0.021876519202722412, 0.47578457263225066,0.8091579789894325,0.5168268825041448,0.16602360807708913,0.028629951971073212
201808,  rank,28170,10507,6550,5946,5167,13355,474,2979,4930,4972,76964,33148,24180,15753,3883,29862,626,11721,13739,3776,0.32362411081991765,0.8924050632911392,0.6824437730782141,0.3178498985801217,0.06013676588897828,0.1447324358716764,0.6757188498402555,0.17344936438870404,0.11405488026785064,0.0791843220338983,0.6269922970430585,0.9802055576703465,0.7620210654861853,0.3450479233226837,0.06172600619195046,0.22949392581043332,0.31071827204440555,0.20644307514164012,0.13025263425161865,0.08213182286302781, 0.48160034878491087,0.8091579789894325,0.4207058385265698,0.17522275480915273,0.06442582364029831
201809,  ss+rank,64795,30794,15753,10700,7548,21040,645,5089,8165,7141,82146,37186,17838,14822,12300,30821,713,6470,11882,11756,0.21577946768060838,0.8496124031007752,0.4747494596187856,0.16203306797305572,0.035429211595014706,0.1473021641088868,0.7685834502103787,0.37341576506955176,0.11134489143241878,0.021520925484858795,0.5334434224334835,0.7717811333008605,0.5314205915957853,0.19596299411269974,0.04358193138163995,0.42077008290016676,0.639121198268212,0.469308817758843,0.14146933819064966,0.02674579302495732, 0.4766674862395745,0.7123929445100945,0.49623792020220364,0.15821416005760527,0.0301202062895032
201809,  rank,64795,30794,15753,10700,7548,21040,645,5089,8165,7141,82146,37186,25045,16128,3787,31556,713,12724,14391,3728,0.2998574144486692,0.8496124031007752,0.6462959324032226,0.2668707899571341,0.041030667973673156,0.19993028267207505,0.7685834502103787,0.25848789688777113,0.15141407824334654,0.07859442060085838,0.5683221186492994,0.7717811333008605,0.6225085692522534,0.27380618633772547,0.04252218836932044,0.44828173883404143,0.639121198268212,0.3915595304639463,0.18166036332072663,0.08474128827877508, 0.5035033133409689,0.7123929445100945,0.4622702483463599,0.19664606048807,0.05201037801342252
201810,  ss+rank,52883,26963,11802,8268,5850,17911,650,4674,6925,5662,97614,46591,21761,16684,12578,33470,795,7646,13027,12002,0.2504047791859751,0.8953846153846153,0.5109114249037228,0.18411552346570398,0.042387848816672555,0.13400059755004481,0.7320754716981132,0.31232016740779495,0.0978736470407615,0.019996667222129644,0.6679146811890174,0.9398086337338674,0.6573752435821402,0.23521586648929738,0.04734233464365066,0.36185012549300827,0.5438916552197802,0.3565389210550501,0.11657177105184298,0.022020828364734877, 0.5546595866592846,0.8291730695818278,0.5136705147050344,0.15971221569625962,0.02725401698529375
201810,  rank,52883,26963,11802,8268,5850,17911,650,4674,6925,5662,97614,46591,29065,17856,4102,35254,795,14708,15763,3988,0.3292390151303668,0.8953846153846153,0.6660248181429183,0.2763898916967509,0.050865418580007066,0.1672717989448006,0.7320754716981132,0.21165352189284742,0.12142358688066993,0.07221664994984955,0.6813592012707057,0.9398086337338674,0.6644073540625265,0.3053573588100133,0.055546060502478206,0.3691338421349178,0.5438916552197802,0.26979976604968003,0.14140113120904968,0.07921033390202291, 0.5568699098272332,0.8291730695818278,0.4230206340859153,0.172674900250215,0.05902969991707223
201811,  ss+rank,37787,17234,8337,6902,5314,16017,624,4176,6045,5172,69697,32033,15633,12272,9759,26988,756,6509,10302,9421,0.2167072485484173,0.8798076923076923,0.45545977011494254,0.1401157981803143,0.03344934261407579,0.12861271676300579,0.7261904761904762,0.29221078506683057,0.08221704523393515,0.018363231079503238,0.6020165131787869,0.9558456628952713,0.5877908371312065,0.17209908735332463,0.034995296331138286,0.3263938706993027,0.5142660922769557,0.31348343354227964,0.0967978489366903,0.019057377049180327, 0.5090181200312798,0.8326464214305909,0.4610261870499448,0.12271604568636026,0.022726288421102837
201811,  rank,37787,17234,8337,6902,5314,16017,624,4176,6045,5172,69697,32033,22037,12967,2660,27733,756,12525,11824,2628,0.28051445339326964,0.8798076923076923,0.600095785440613,0.20810587262200164,0.03480278422273782,0.16200915876392746,0.7261904761904762,0.20007984031936127,0.1063937753721245,0.0684931506849315,0.6208584735894993,0.9558456628952713,0.627368673542816,0.22700275242648124,0.03555973659454374,0.33660937186145945,0.5142660922769557,0.23736273709048009,0.1208359037631092,0.07102593010146561, 0.5152862833419259,0.8326464214305909,0.3819757125079672,0.14232770224270652,0.040073461787702325
201812,  ss+rank,37036,18195,7856,6153,4832,15057,639,4126,5529,4763,91835,45296,19250,15366,11923,32048,799,7568,12324,11357,0.24360762436076244,0.892018779342723,0.4893359185651963,0.16133116295894376,0.03926096997690531,0.11445332001997005,0.7133917396745932,0.26678118393234673,0.0723790976955534,0.016465615919697103,0.6602316602316602,0.9888437019125083,0.6418480336006109,0.19662008449788757,0.04283054003724395,0.26626813014504114,0.39722277413515245,0.26196041764064204,0.07874015748031496,0.017359946326735994, 0.5293384267027501,0.8312432725500416,0.4613290660459599,0.12154780419363528,0.020667210350299652
201812,  rank,37036,18195,7856,6153,4832,15057,639,4126,5529,4763,91835,45296,26553,16158,3828,32632,799,13922,14201,3710,0.31181510261008166,0.892018779342723,0.6366941347552109,0.23548562126966902,0.04115053537686332,0.14387717577837705,0.7133917396745932,0.18869415313891683,0.0916836842475882,0.052830188679245285,0.6797796797796798,0.9888437019125083,0.6863942980781469,0.2565810854728632,0.04386509414442375,0.27415174876954573,0.39722277413515245,0.20309557882051668,0.09771644284918621,0.05536693653695482, 0.5324359748377248,0.8312432725500416,0.38014025459436335,0.13123981255554928,0.04485120097988344
