month, method, #_true_orders_multiple,#_true_orders_1_multiple,#_true_orders_2_multiple,#_true_orders_3_multiple,#_true_orders_unique,#_true_orders_1_unique,#_true_orders_2_unique,#_true_orders_3_unique,#_positive_orders_multiple,#_positive_orders_1_multiple,#_positive_orders_2_multiple,#_positive_orders_3_multiple,#_positive_orders_unique,#_positive_orders_1_unique,#_positive_orders_2_unique,#_positive_orders_3_unique,recall_unique,recall_1_unique,recall_2_unique,recall_3_unique,accuracy_unique,accuracy_1_unique,accuracy_2_unique,accuracy_3_unique,recall_multiple,recall_1_multiple,recall_2_multiple,recall_3_multiple,accuracy_multiple,accuracy_1_multiple,accuracy_2_multiple,accuracy_3_multiple,overlap,overlap_1,overlap_2,overlap_3
201808,  ss+rank,7004,3071,2054,1879,3197,313,1215,1669,26988,13362,7278,6348,8977,475,3115,5387,0.34782608695652173,0.8402555910543131,0.4823045267489712,0.15757938885560216,0.12387211763395344,0.5536842105263158,0.18812199036918137,0.04882123630963431,0.6586723768736616,0.9674479166666666,0.6282238442822384,0.18670212765957447,0.1709585386639001,0.2224051485444885,0.17735952740761093,0.05528429673964404, 0.4868053546991832,0.7505201573049095,0.4006011902325052,0.09568035994960414
201808,  rank,7004,3071,2054,1879,3197,313,1215,1669,26988,13362,9558,4068,8710,475,4792,3443,0.41163590866437283,0.8402555910543131,0.6,0.19412822049131218,0.1510907003444317,0.5536842105263158,0.15212854757929883,0.09410397908800465,0.6843683083511777,0.9674479166666666,0.6895377128953771,0.2154255319148936,0.17762792248693912,0.2224051485444885,0.14823726331206194,0.0995330548046203, 0.4903714001281813,0.7505201573049095,0.3517005692504497,0.13582561070633634
201809,  ss+rank,25609,14474,6807,4328,6529,464,2599,3466,31172,16517,8001,6654,10026,596,3765,5665,0.294838413233267,0.8512931034482759,0.4201616006156214,0.12637045585689555,0.19200079792539398,0.662751677852349,0.2900398406374502,0.07731685789938217,0.48223350253807107,0.6106390328151986,0.42538190364277323,0.14206514206514206,0.3961761781028454,0.5351132098316987,0.36190952261934517,0.09241172051089407, 0.4389554401901628,0.5774456094239464,0.385726299417515,0.10401322123865399
201809,  rank,25609,14474,6807,4328,6529,464,2599,3466,31172,16517,10577,4078,9814,596,5652,3566,0.3561035380609588,0.8512931034482759,0.5386687187379762,0.1529140219272937,0.23690646015895658,0.662751677852349,0.24769992922859166,0.14862591138530568,0.5122998828582584,0.6106390328151986,0.5229142185663925,0.16655116655116656,0.4208770410290957,0.5351132098316987,0.33654755152202687,0.17675900956116694, 0.4664076914164956,0.5774456094239464,0.3967182312742159,0.169851935320403
201810,  ss+rank,14500,8105,3792,2603,4828,482,1984,2362,35617,19594,9290,6733,10268,634,3985,5649,0.3382352941176471,0.8858921161825726,0.44556451612903225,0.1363251481795089,0.1590377873003506,0.6735015772870663,0.221831869510665,0.057001239157372985,0.7267774636231984,0.9803849000740192,0.5744793039810177,0.1586021505376344,0.2958897186815655,0.40556264353151317,0.23452803788612636,0.061330561330561334, 0.5844148696912482,0.8354661252040733,0.4031210116590169,0.08861001304404992
201810,  rank,14500,8105,3792,2603,4828,482,1984,2362,35617,19594,11655,4368,10529,634,6194,3701,0.4007870753935377,0.8858921161825726,0.5660282258064516,0.1629974597798476,0.18377813657517333,0.6735015772870663,0.18130448821440104,0.10402593893542286,0.7409833804565202,0.9803849000740192,0.6111257579752175,0.18433179723502305,0.30167331124712227,0.40556264353151317,0.1988675360329444,0.10986495765621423, 0.5835623128436376,0.8354661252040733,0.34745179175557667,0.12778445622759854
201811,  ss+rank,11581,6199,2962,2420,4458,451,1808,2199,29839,15717,7953,6169,9991,621,3942,5428,0.3272768057424854,0.8736141906873615,0.4358407079646018,0.1259663483401546,0.1460314282854569,0.6344605475040258,0.19989852866565194,0.05103168754605748,0.6933172163702297,0.9706451612903226,0.5568680391495107,0.14952498967368855,0.2691018766756032,0.38287313907621834,0.2074427960774453,0.0586709886547812, 0.5323400016087922,0.7882474789536192,0.3676466730223693,0.08543503976828924
201811,  rank,11581,6199,2962,2420,4458,451,1808,2199,29839,15717,10369,3753,10146,621,6147,3378,0.38604755495737997,0.8736141906873615,0.5403761061946902,0.15916325602546613,0.1696234969446087,0.6344605475040258,0.15893931999349276,0.10361160449970397,0.7121395268520118,0.9706451612903226,0.6105298683766452,0.17389508467575382,0.2764075067024129,0.38287313907621834,0.17444551591128254,0.1121470431539691, 0.5347659414073686,0.7882474789536192,0.3165405842442276,0.12651751876735534
201812,  ss+rank,10306,5655,2578,2073,4111,455,1701,1955,37726,21520,9069,7137,11330,670,4464,6196,0.34225249331063,0.9252747252747253,0.4438565549676661,0.11815856777493607,0.12418358340688437,0.6283582089552239,0.16913082437275986,0.03728211749515817,0.710293974968468,0.9888613861386139,0.5622334238076774,0.13404050144648022,0.19405200519521829,0.25988569304400355,0.15986769570011025,0.03894648360885402, 0.5543379736918164,0.8221360098475233,0.33414210559317264,0.06483507503649395
201812,  rank,10306,5655,2578,2073,4111,455,1701,1955,37726,21520,11766,4440,11443,670,6743,4030,0.4011189491607881,0.9252747252747253,0.564373897707231,0.1370843989769821,0.14410556672201347,0.6283582089552239,0.14236986504523208,0.06650124069478908,0.7271757058309887,0.9888613861386139,0.6200077549437767,0.14609450337512053,0.1986640867283378,0.25988569304400355,0.13588850174216027,0.06822787660436838, 0.5541920904775378,0.8221360098475233,0.2877478163204997,0.08528832740120697
201901,  ss+rank,13576,8122,3165,2289,4386,451,1836,2099,24156,13891,5844,4421,7780,568,3267,3945,0.302781577747378,0.8536585365853658,0.4046840958605665,0.09528346831824679,0.17069408740359898,0.6778169014084507,0.22742577288031834,0.050697084917617236,0.6512484348530603,0.8715991628708605,0.48073278584965257,0.10480349344978165,0.36602227097735646,0.5096458393319896,0.260393498716852,0.054274084124830396, 0.5477432560484291,0.7668366956855898,0.35481216202626975,0.0697124579865212
201901,  rank,13576,8122,3165,2289,4386,451,1836,2099,24156,13891,7747,2518,7824,568,4935,2321,0.35658914728682173,0.8536585365853658,0.5201525054466231,0.1067174845164364,0.19989775051124745,0.6778169014084507,0.19351570415400202,0.0965101249461439,0.6650217279222214,0.8715991628708605,0.5344283006948831,0.11222707423580786,0.3737632984228174,0.5096458393319896,0.21837893649974188,0.10202461294164351, 0.5537647502977046,0.7668366956855898,0.31801965434919777,0.10444901558061143
201902,  ss+rank,12547,6852,3343,2352,4343,467,1767,2109,32337,17868,8289,6180,9695,616,3877,5202,0.335712641031545,0.867237687366167,0.43067345783814376,0.13845424371740161,0.15038679731820526,0.6574675324675324,0.19628578798039722,0.05613225682429835,0.7065667835511635,0.9534510433386838,0.56877990430622,0.1827454313642159,0.2741666151277135,0.3656612009625609,0.22943305186972257,0.0695680310629348, 0.5722505225298343,0.8055082474829045,0.41758740405628386,0.10939006670629386
201902,  rank,12547,6852,3343,2352,4343,467,1767,2109,32337,17868,10422,4047,9691,616,5608,3467,0.408243149896385,0.867237687366167,0.5608375778155065,0.17875770507349456,0.1829532555979775,0.6574675324675324,0.17671184022824538,0.10873954427458898,0.7266496652853044,0.9534510433386838,0.6199162679425837,0.21716957076073098,0.2819593048426,0.3656612009625609,0.1988870766573923,0.12623517786561264, 0.5737011586843307,0.8055082474829045,0.37194054340857624,0.1527952174198056
201903,  ss+rank,11908,6356,3184,2368,3926,420,1641,1865,31137,16940,8471,5726,9290,616,3763,4911,0.35685175751400916,0.8952380952380953,0.4619134673979281,0.14316353887399463,0.15080731969860064,0.6103896103896104,0.2014350252458145,0.05436774587660354,0.7042572844067512,0.9641340254837187,0.5996860282574569,0.14689742507387082,0.26934934806345945,0.3617850185939437,0.22544853635505194,0.060764798323729705, 0.545893955229375,0.7887254315568257,0.3882525008468172,0.08493220232981873
201903,  rank,11908,6356,3184,2368,3926,420,1641,1865,31137,16940,10224,3973,9407,616,5327,3464,0.41721854304635764,0.8952380952380953,0.5496648385131018,0.19302949061662197,0.17412565111087489,0.6103896103896104,0.16932607471372255,0.10392609699769054,0.7220589470148627,0.9641340254837187,0.6301412872841444,0.19544111439425918,0.27615774937375553,0.3617850185939437,0.1962836185819071,0.11650729743331656, 0.547102487863158,0.7887254315568257,0.33778929860570345,0.13468435163706363
201904,  ss+rank,9612,5454,2407,1751,3406,388,1425,1593,37492,22963,8431,6098,9692,590,3760,5342,0.364063417498532,0.8917525773195877,0.4743859649122807,0.13684871311989957,0.12794056954189023,0.5864406779661017,0.1797872340425532,0.040808685885436166,0.7359825236658691,0.9772685609532539,0.6117109634551495,0.15468036529680365,0.188701891019657,0.23214596760146317,0.17469165085388993,0.04443351369076898, 0.5779510448704362,0.8053898459857155,0.3911041693964152,0.06890276258761562
201904,  rank,9612,5454,2407,1751,3406,388,1425,1593,37492,22963,10512,4017,9698,590,5536,3572,0.43041691133294185,0.8917525773195877,0.5796491228070175,0.18455743879472694,0.15116518869870077,0.5864406779661017,0.14920520231213874,0.08230683090705487,0.7579319671278477,0.9772685609532539,0.6636212624584718,0.20376712328767124,0.19432960819352946,0.23214596760146317,0.15200228288785314,0.08885017421602788, 0.5815003441544377,0.8053898459857155,0.3438650682085955,0.11537729356118893
201905,  ss+rank,17342,11398,3374,2570,4533,440,1892,2201,41603,24968,9780,6855,10549,596,4201,5752,0.3417163026693139,0.8931818181818182,0.46405919661733613,0.1263062244434348,0.14683856289695707,0.6593959731543624,0.20899785765293977,0.04833101529902643,0.7667070287724154,0.9592069479778927,0.6,0.13146635550369506,0.31960869147197385,0.43790299971965235,0.20703404559860955,0.04929988331388565, 0.5941562217621031,0.7840356625071115,0.405486076007673,0.07591153039475261
201905,  rank,17342,11398,3374,2570,4533,440,1892,2201,41603,24968,12088,4547,10818,596,6280,3942,0.42400176483564966,0.8931818181818182,0.5940803382663847,0.18400726942298956,0.17766685154372341,0.6593959731543624,0.1789808917197452,0.10273972602739725,0.7844086951507813,0.9592069479778927,0.6545185185185185,0.1793076623881758,0.326987789635612,0.43790299971965235,0.18272809992555217,0.101363236587511, 0.5997435662825408,0.7840356625071115,0.36863970676215607,0.12068888795708291
201906,  ss+rank,5419,2933,1437,1049,2362,366,1017,979,78601,48678,17903,12020,15461,648,5641,9172,0.48687552921253174,0.9180327868852459,0.5978367748279253,0.21041879468845762,0.07438069982536705,0.5185185185185185,0.10778230810140046,0.022459659834278237,0.7618081180811808,0.9826175869120655,0.6891515994436718,0.24285714285714285,0.052530469962596374,0.05922471702376795,0.055350759606791776,0.021212877464437233, 0.5190666737515641,0.7451255589186215,0.3409889472033434,0.08179821048173609
201906,  rank,5419,2933,1437,1049,2362,366,1017,979,78601,48678,20884,9039,15673,648,8119,6906,0.5372565622353938,0.9180327868852459,0.6666666666666666,0.2604698672114402,0.08096726855101129,0.5185185185185185,0.08350782116024141,0.0369244135534318,0.781180811808118,0.9826175869120655,0.7329624478442281,0.28285714285714286,0.05386631383425358,0.05922471702376795,0.05046684223126646,0.03285398230088495, 0.5109040624916626,0.7451255589186215,0.2868073863153988,0.08817020113350581
